synonym	primary
ABHD18	ABHD18
PLA2G1B	PLA2G1B
EPHB3	EPHB3
IFNE	IFNE
TMEM202	TMEM202
KRT17	KRT17
DVL3	DVL3
TSACC	TSACC
SLIT1	SLIT1
MTRFR	MTRFR
OTUD7A	OTUD7A
TPCN2	TPCN2
BGLAP	BGLAP
PLEKHH2	PLEKHH2
RTF2	RTF2
CHRNA9	CHRNA9
MFSD14B	MFSD14B
RSF1	RSF1
TTLL10	TTLL10
MICOS13	MICOS13
CCL19	CCL19
MAP2K1	MAP2K1
SEC14L6	SEC14L6
MGAT3	MGAT3
MX2	MX2
SPTBN5	SPTBN5
SVBP	SVBP
SIRT3	SIRT3
TBC1D1	TBC1D1
FBXL17	FBXL17
PPOX	PPOX
MCOLN1	MCOLN1
ART5	ART5
ZNF738	ZNF738
VSIG10L2	VSIG10L2
LEPROT	LEPROT
POLR3B	POLR3B
CACNA1E	CACNA1E
ANKRD46	ANKRD46
P2RY14	P2RY14
EMD	EMD
CFAP47	CFAP47
KRBOX5	KRBOX5
NEK5	NEK5
NXF2B	NXF2B
SSX5	SSX5
BACE2	BACE2
NT5DC3	NT5DC3
TOP1MT	TOP1MT
RPS19	RPS19
C10orf67	C10orf67
CLUL1	CLUL1
EIF1B	EIF1B
LRRC8A	LRRC8A
B4GALNT2	B4GALNT2
DCP2	DCP2
ULK1	ULK1
DCX	DCX
PRPF3	PRPF3
SERINC3	SERINC3
MRPL14	MRPL14
GALNT7	GALNT7
TJP3	TJP3
C2CD4D	C2CD4D
CAMTA2	CAMTA2
RGPD8	RGPD8
SCN2A	SCN2A
S100B	S100B
PTGES	PTGES
CMSS1	CMSS1
OR8U8	OR8U8
NECAB2	NECAB2
KDM2A	KDM2A
AQP6	AQP6
SNX4	SNX4
GCA	GCA
DCLK1	DCLK1
SLC16A14	SLC16A14
NKX2-3	NKX2-3
TAF11L2	TAF11L2
SPTBN4	SPTBN4
DPYS	DPYS
JPT1	JPT1
SCN4B	SCN4B
EGFR	EGFR
MNDA	MNDA
H2BC10	H2BC10
APOA5	APOA5
ETDB	ETDB
LRRN3	LRRN3
FIBIN	FIBIN
PTPN11	PTPN11
ETNK2	ETNK2
MRPS24	MRPS24
ZNF439	ZNF439
KHDC1L	KHDC1L
PSG5	PSG5
B3GAT3	B3GAT3
SZT2	SZT2
RPLP1	RPLP1
ADIRF	ADIRF
NSMCE3	NSMCE3
HFM1	HFM1
DHX35	DHX35
GRM7	GRM7
PPA2	PPA2
RNF103	RNF103
